Unnamed: 0,Job_Role,Android,Angular,AWS,Azure,Blockchain,Bootstrap,C#,C++,Confluence,CSS,CSS3,Data Science,DigitalOcean,Django,Docker,Ethereum,Git,Google Cloud Platform,GraphQL,Heroku,HTML,HTML5,iOS,Java,JavaScript,Jira,Kubernetes,LESS,Machine Learning,MERN Stack,MongoDB,Node.js,PHP,Python,PyTorch,React,RESTful API,Ruby,R,Sass,Solidity,Spring Framework,SQL,Swift,TensorFlow,TypeScript,Unity,Vue.js
256,Network Security Engineer,2,0,2,3,3,3,2,0,3,3,3,0,3,2,3,3,3,3,2,3,3,2,3,3,2,3,3,0,2,3,2,2,2,3,2,3,0,2,3,2,3,2,3,2,2,2,3,3
257,Frontend Developer,2,3,2,0,0,2,2,3,2,3,3,0,0,3,2,0,3,3,3,2,3,3,3,2,3,2,2,2,2,2,2,3,3,3,2,3,2,2,3,2,2,2,2,2,3,3,3,2
258,UI Developer,2,2,3,3,3,2,3,2,2,3,3,3,3,3,3,0,3,0,3,2,3,0,3,2,3,0,2,3,0,2,2,2,2,3,2,3,3,3,3,3,2,3,2,2,3,3,3,2
259,Machine Learning Lead,2,0,0,2,3,2,2,0,3,2,0,3,3,2,3,2,3,2,2,3,3,3,2,3,3,0,2,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,2,3,3,2,3
260,Frontend Architect,3,3,3,3,3,2,2,0,0,3,2,2,0,3,3,0,3,2,2,3,3,2,3,3,3,2,2,0,2,2,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,2,3
261,Web Developer,2,2,0,3,3,2,0,2,2,3,3,0,2,3,0,2,3,2,3,2,3,3,2,2,3,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,2,2,3,0,3,2
262,ETL Developer,2,2,3,0,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,0,0,2,2,2,3,0,3,2,3,2,3,2,2,3,2,0,3,3,3,2,3,2,3,3,3,3,2,2
263,Big Data Engineer,0,0,3,2,2,3,2,2,2,2,3,3,3,3,2,3,3,2,3,3,3,3,2,0,2,3,3,3,2,2,0,2,2,3,3,3,0,2,3,2,3,3,3,2,3,2,2,2
264,Quality Assurance Engineer,2,2,3,0,0,2,3,3,2,3,0,2,3,3,0,3,3,2,3,3,3,2,2,3,3,2,3,2,3,3,3,0,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3
265,Data Product Manager,3,2,2,3,3,2,3,3,3,0,3,0,2,2,2,2,3,3,2,2,3,2,3,3,2,3,3,3,2,2,2,2,0,2,2,2,2,0,2,3,2,2,3,3,3,2,0,3
266,Platform Engineer,0,2,3,3,3,0,3,0,3,3,3,2,3,2,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,0,3,3,3,3,0,3,3,3,2,3,3,2,2,2,3,3,2
267,Software Development Manager,0,3,2,3,3,3,2,2,2,3,3,3,3,2,2,3,3,2,3,2,3,0,3,3,3,0,3,3,2,0,3,3,3,3,3,2,3,3,3,3,2,2,3,2,3,3,3,0
268,Engineering Director,3,3,3,3,0,2,2,0,2,3,2,2,2,3,0,3,3,3,3,0,2,2,2,3,0,3,2,2,3,2,3,3,2,3,2,3,3,2,2,2,2,2,2,3,3,2,3,3
269,Data Scientist,2,2,2,2,0,2,3,3,3,2,2,3,0,2,2,2,2,0,2,2,3,3,0,2,3,2,3,3,3,2,2,3,3,3,2,3,2,3,3,3,2,2,3,0,2,2,3,3
270,Enterprise Architect,3,3,3,3,0,3,3,0,3,3,3,2,2,3,2,2,3,0,3,3,2,3,2,3,2,3,2,3,2,3,3,2,3,0,3,2,3,3,2,2,2,2,2,2,3,3,2,0
271,Embedded Software Engineer,3,3,0,3,2,3,3,3,2,2,0,2,3,2,3,3,3,2,3,2,0,3,2,3,2,2,3,2,2,3,3,0,0,3,3,3,3,3,2,3,2,3,3,2,3,3,2,3
272,Frontend Developer,3,3,3,0,0,3,3,3,3,3,2,0,0,3,3,0,3,2,2,3,3,3,2,3,3,2,2,2,3,3,3,2,3,3,3,3,3,2,2,3,2,2,3,2,3,2,2,3
273,Backend Development Lead,3,3,2,2,3,2,3,3,3,0,2,3,2,3,3,3,3,3,0,3,3,0,0,3,3,2,3,2,3,2,3,3,3,3,2,3,3,3,2,2,2,3,3,3,2,0,2,3
274,Technical Support Engineer,3,3,2,3,3,2,0,2,3,0,2,3,3,2,0,3,3,2,2,2,3,2,3,2,2,2,0,0,3,2,2,3,2,3,3,2,2,2,3,3,3,3,3,2,3,2,2,2
275,Solutions Architect,3,0,3,3,2,0,2,2,2,3,0,2,3,2,3,2,3,0,3,2,2,2,3,3,3,2,3,2,2,3,2,3,3,3,2,2,2,3,0,3,3,3,2,3,3,3,2,2
276,Data Architect,3,3,3,3,3,3,2,2,0,0,3,3,3,2,3,2,3,3,2,3,3,3,2,3,3,2,2,0,2,2,2,3,3,2,2,3,3,2,2,3,2,2,3,2,0,2,2,0
277,Cybersecurity Manager,0,2,2,2,3,2,3,0,3,2,3,2,2,2,2,3,3,3,2,3,0,3,2,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,0,0,3,3,2,3,3,3,2,2
278,AI Product Manager,0,2,3,3,3,0,3,3,3,3,2,0,3,3,3,3,3,0,2,3,3,2,2,3,3,2,3,2,2,2,3,2,2,0,3,3,3,2,3,2,2,2,2,3,2,3,2,3
279,System Administrator,3,3,3,2,0,0,2,3,3,2,3,3,2,3,2,3,3,3,2,2,3,2,2,2,3,3,2,3,3,0,3,3,2,0,0,3,3,3,2,2,3,3,3,2,3,2,2,2
280,SRE (Site Reliability Engineer),3,0,3,2,3,3,0,3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,3,2,3,2,3,3,0,2,2,2,3,3,0,2,3,3,3,0,3
281,Frontend Engineer,2,3,2,3,2,3,3,3,0,3,3,3,3,2,3,3,3,3,0,2,3,3,2,2,3,2,2,2,2,0,0,0,3,2,2,3,2,3,3,2,2,3,2,3,2,3,3,3
282,Frontend Engineer,3,2,3,3,3,2,3,3,0,3,3,3,2,3,2,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,0,0,2,2,2,3,3,3,3,2,3,3,2,3,2,2,2,3
283,Solutions Architect,3,0,3,3,2,0,2,3,2,2,0,3,2,3,3,3,3,0,3,2,3,2,2,3,3,3,2,3,3,2,2,3,2,2,3,3,2,3,0,2,2,3,3,3,3,3,2,3
284,Data Scientist,2,2,3,3,0,3,3,2,3,3,2,3,0,2,2,3,3,0,2,3,2,3,0,2,2,3,2,3,2,3,3,2,3,3,3,2,2,3,3,2,2,3,3,0,3,2,3,2
285,Backend Development Manager,3,3,2,3,3,3,3,0,3,3,3,2,2,3,3,2,3,0,3,3,2,0,3,3,3,3,2,3,3,3,3,2,2,3,2,3,3,2,0,2,3,3,3,0,3,2,2,2
286,Software Development Manager,0,2,3,2,3,2,3,3,2,2,3,2,2,2,2,2,3,2,3,3,2,0,2,3,3,0,2,3,3,0,3,3,3,2,3,2,3,3,2,3,3,3,3,2,3,3,3,0
287,Frontend Developer,2,3,2,0,0,2,2,3,2,3,2,0,0,2,3,0,3,2,2,3,3,3,3,3,3,2,3,3,2,3,3,2,3,2,2,3,3,2,3,2,3,2,3,2,3,3,2,2
288,Business Analyst,3,3,3,3,2,0,2,0,2,3,3,2,2,2,2,0,3,2,2,2,2,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,2,0,2,0,3,2,3,2,3,3,3,2
289,Software Engineer,0,3,0,2,3,0,3,3,2,3,3,0,3,2,3,2,3,3,3,3,3,2,3,3,3,2,3,2,3,2,3,3,3,3,2,3,3,3,2,3,3,0,3,2,2,2,3,2
290,System Administrator,3,2,2,3,0,0,2,3,2,2,2,2,2,2,2,3,3,2,2,2,3,2,3,2,2,3,3,2,2,0,2,2,3,0,0,3,3,2,2,2,2,2,3,2,3,2,2,2
291,AI Engineering Manager,0,3,2,3,3,3,3,2,0,3,0,2,2,2,3,2,3,3,2,3,3,2,2,0,3,3,3,3,3,3,0,2,2,3,3,2,3,2,2,2,2,2,3,2,3,2,2,2
292,Engineering Director,3,2,2,3,0,2,2,0,3,3,2,2,2,2,0,3,3,3,3,0,2,2,3,3,0,2,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,2
293,UI Architect,2,2,3,3,2,2,3,2,3,3,2,2,0,2,3,0,3,0,2,2,3,3,3,3,3,0,3,2,2,3,3,0,2,3,2,3,2,3,2,2,3,2,3,3,3,2,3,3
294,Backend Architect,0,2,0,2,2,2,2,3,3,0,3,3,2,3,3,3,3,3,3,2,2,2,2,3,2,3,3,2,3,3,3,2,2,3,2,2,2,3,3,3,2,3,2,3,0,2,3,0
295,Full Stack Developer,2,2,3,3,2,2,3,2,0,3,3,0,3,3,3,3,3,3,0,3,3,2,3,0,3,3,3,3,2,3,3,3,2,3,0,3,2,2,3,2,2,2,3,2,3,3,3,2
296,Business Analyst,2,2,3,3,3,0,3,0,3,3,3,3,3,3,3,0,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,3,2,0,3,0,2,2,2,3,2,3,2,3
297,Software Architect,2,3,3,0,2,2,3,2,0,2,0,3,2,2,3,3,3,3,3,3,2,3,2,0,2,2,2,0,3,2,3,2,3,2,3,3,2,3,2,2,2,2,2,2,2,3,2,2
298,Software Architect,2,3,3,0,2,2,2,3,0,3,0,2,2,3,3,3,3,2,2,3,2,3,2,0,3,3,2,0,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,3,3,3,2,3
299,Enterprise Architect,2,2,2,2,0,2,2,0,2,2,3,3,2,3,2,3,3,0,2,2,2,3,3,3,3,3,2,3,3,2,2,2,2,0,2,3,2,2,2,3,2,3,3,2,3,2,2,0
300,Web Developer,2,2,0,2,2,3,0,3,3,3,3,0,3,2,0,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,2,3,3,2,3,3,3,2,2,3,2,2,0,2,3
301,Blockchain Developer,3,3,2,2,3,2,2,2,2,3,2,3,3,2,2,3,3,2,2,0,3,2,3,3,3,3,2,2,2,2,3,3,0,2,0,0,3,3,3,3,3,0,2,2,3,2,3,2
302,Game Developer,0,2,3,0,2,3,3,3,0,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,2,0,2,3,3,3,2,3,3,2,3,2,2,3,3,3,2,3,2,2,3,0
303,UI/UX Designer,2,3,2,2,0,3,2,2,3,3,2,2,3,0,3,2,0,2,3,3,3,2,2,0,3,3,2,3,0,2,2,3,2,3,3,2,3,2,3,3,2,2,2,3,2,2,2,2
304,QA Automation Engineer,0,0,3,3,3,3,3,2,2,2,2,2,2,2,3,2,3,3,2,2,3,3,2,3,2,3,0,3,2,2,2,0,2,3,3,3,3,3,2,3,3,2,0,3,3,2,3,2
305,Cloud Security Engineer,2,3,2,2,3,2,3,3,3,2,3,3,0,3,0,2,3,2,3,3,2,2,3,2,3,3,2,3,3,2,0,2,3,3,2,2,0,2,3,3,0,2,3,2,3,3,3,2
306,Backend Developer,3,3,3,3,3,2,3,0,3,0,2,3,0,3,2,2,3,0,3,3,3,2,2,3,2,2,2,3,3,2,2,2,3,3,3,3,3,0,2,3,2,3,3,3,2,2,3,3
307,Engineering Director,2,2,3,2,0,3,3,0,2,3,3,2,3,3,0,3,3,3,2,0,3,3,2,2,0,3,3,2,2,3,2,3,3,2,2,3,3,2,3,2,2,3,3,3,2,3,3,3
308,Frontend Development Manager,3,3,3,0,3,3,0,2,2,3,3,2,2,2,2,2,3,2,2,2,3,3,2,3,3,2,0,3,3,2,3,2,3,0,2,3,2,3,0,3,2,2,3,3,3,3,3,3
309,Network Security Engineer,3,0,3,3,2,3,3,0,2,3,2,0,3,2,2,3,3,2,3,3,3,3,3,2,2,3,2,0,2,2,2,3,2,2,2,2,0,2,2,2,3,3,3,3,2,2,3,3
310,UX Architect,3,3,2,2,2,2,2,2,3,0,3,2,3,3,0,0,3,3,2,3,3,3,2,3,3,2,3,2,0,2,2,3,3,3,3,3,3,2,2,0,3,3,2,2,2,3,2,3
311,Game Developer,0,3,2,0,2,2,3,2,0,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,2,3,0,3,2,2,2,3,3,2,2,3,3,3,2,2,3,2,2,3,2,3,0
312,Data Engineer,3,0,2,3,2,0,3,3,3,0,3,2,3,2,2,2,3,0,3,3,2,3,2,3,3,3,2,3,3,2,2,3,3,3,2,2,2,3,3,2,0,2,3,2,2,3,2,2
313,Backend Architect,0,3,0,3,3,3,2,3,2,0,3,2,2,3,2,3,3,3,3,2,3,2,2,3,2,3,3,2,2,3,3,2,2,3,2,3,2,2,3,3,2,3,2,2,0,2,3,0
314,Backend Engineer,2,3,2,3,2,3,3,0,2,2,0,3,2,3,3,3,3,3,0,2,2,2,3,3,0,2,3,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,0,3,2,2
315,Data Engineer,3,0,2,3,3,0,3,2,3,0,3,2,3,2,3,2,3,0,2,3,3,2,3,2,3,2,3,3,2,3,2,2,2,3,2,3,2,3,3,2,0,2,3,3,2,3,3,2
316,UX Designer,3,3,2,3,2,2,3,3,2,0,2,2,2,3,2,2,3,2,2,0,3,3,3,3,3,3,0,3,3,3,0,3,3,3,3,3,2,2,3,0,2,3,2,2,3,3,2,2
317,Blockchain Developer,3,3,2,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,2,0,2,2,2,3,2,3,2,3,2,2,2,2,0,3,0,0,2,3,2,3,3,0,2,3,3,2,2,2
318,Data Scientist,3,2,3,2,0,2,2,3,3,2,3,3,0,3,2,3,3,0,3,3,2,2,0,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0,2,3,2,3
319,Product Manager,3,2,3,3,2,3,2,0,3,2,0,3,2,3,2,2,3,3,3,2,3,2,2,3,3,2,2,2,2,2,0,2,2,3,2,3,3,3,3,3,3,2,0,3,0,2,3,2
320,Cybersecurity Manager,0,3,3,3,2,3,2,0,3,2,2,3,2,2,2,2,3,2,3,3,0,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,2,3,0,0,2,3,2,2,3,3,3,2
321,Machine Learning Lead,2,0,0,2,3,2,3,0,2,3,0,3,3,2,2,2,3,3,3,3,3,3,2,3,3,0,3,2,2,3,2,3,3,3,3,2,3,2,3,2,2,3,3,2,3,3,3,3
322,Release Manager,3,3,2,3,0,2,3,0,3,3,2,3,0,2,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,0,3,2,0,2,2,2,2,3,2,3,3,3,2,3,3,2,2,2
323,Blockchain Developer,3,3,2,2,3,2,3,3,2,3,3,2,2,3,3,3,3,2,3,0,3,2,3,2,3,2,3,2,2,3,2,2,0,2,0,0,2,2,3,3,3,0,2,3,3,2,2,2
324,Cybersecurity Lead,3,2,3,0,2,0,0,3,3,3,3,3,3,2,2,0,3,2,2,3,0,2,2,2,2,3,2,2,3,2,2,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2,2
325,QA Automation Engineer,0,0,3,3,2,3,3,2,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,2,3,0,2,3,3,3,0,2,3,3,2,3,2,2,2,2,3,0,3,2,2,3,3
326,Technical Support Engineer,3,2,3,3,3,2,0,2,3,0,3,3,3,2,0,2,3,2,2,2,3,3,2,2,3,2,0,0,3,3,3,2,2,3,2,3,2,2,3,3,3,2,3,2,2,2,2,2
327,AI Product Manager,0,3,3,2,3,0,3,2,3,2,2,0,2,3,2,3,3,0,2,2,3,3,3,2,2,2,3,3,3,2,3,2,2,0,3,3,3,3,3,3,3,3,2,2,2,2,2,3
328,Web Developer,2,3,0,3,2,2,0,2,3,3,2,0,2,3,0,3,3,3,3,2,3,3,3,3,3,2,3,2,3,2,3,3,3,3,2,3,2,2,3,2,2,2,2,2,3,0,2,3
329,IT Support Specialist,2,2,3,2,0,3,2,2,3,0,3,3,2,3,3,2,3,2,0,2,3,2,2,0,3,3,3,3,3,0,3,2,2,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3
330,QA Automation Engineer,0,0,2,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,2,2,3,3,3,2,0,3,3,2,2,0,2,3,2,3,3,2,2,3,2,3,0,2,3,3,3,2
331,AI Engineering Manager,0,3,3,3,3,2,3,2,0,3,0,3,3,3,3,3,3,2,3,3,2,2,2,0,2,2,2,2,3,2,0,3,3,3,3,3,3,2,3,2,3,3,2,2,3,2,2,2
332,AI Engineer,3,3,0,2,3,2,3,3,2,2,2,2,2,2,2,0,3,3,3,2,3,3,2,3,3,3,3,0,2,2,3,3,2,3,3,2,2,3,2,3,2,0,2,2,3,3,0,3
333,Machine Learning Engineer,2,3,2,0,3,0,2,2,2,3,3,2,2,3,2,2,3,0,3,3,2,3,3,2,0,3,3,3,3,2,3,3,2,3,3,2,2,2,3,3,2,0,2,2,3,3,2,2
334,UI Architect,3,3,3,2,2,2,3,3,2,3,3,3,0,3,3,0,3,0,2,2,3,2,2,3,3,0,3,2,2,3,2,0,2,3,3,3,3,3,3,2,3,3,2,3,2,3,2,3
335,Frontend Development Lead,3,3,3,3,0,3,0,2,2,3,2,0,2,3,2,3,3,2,2,2,3,3,2,2,3,2,2,0,3,3,3,3,2,2,0,3,2,3,2,3,3,2,2,3,3,2,2,2
336,Backend Architect,0,3,0,3,3,3,3,3,3,0,2,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,3,3,2,2,2,2,2,2,3,2,0,3,2,0
337,UI Architect,2,2,3,3,3,3,2,3,2,3,3,2,0,3,3,0,3,0,2,3,3,3,2,2,3,0,3,2,3,2,2,0,3,2,2,3,3,2,3,3,2,2,2,3,3,2,3,3
338,Chief Technology Officer (CTO),2,0,0,0,3,3,2,3,3,3,3,2,3,3,3,3,3,0,2,2,3,3,3,2,3,2,3,2,0,3,2,2,2,2,3,3,3,3,2,2,3,3,2,2,3,3,2,2
339,Blockchain Developer,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,0,2,2,2,3,3,3,3,3,3,3,2,2,0,2,0,0,3,3,3,3,3,0,3,2,2,2,2,2
340,Software Engineer,0,3,0,3,3,0,2,3,3,3,2,0,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,3,2,3,3,3,0,3,3,2,2,3,3
341,IT Manager,3,2,3,0,2,2,3,3,3,2,3,3,3,0,3,3,3,0,2,3,3,2,3,3,2,2,3,2,3,2,2,3,3,0,3,3,3,3,2,3,3,2,2,0,3,3,2,3
342,Technical Support Engineer,2,2,3,2,3,2,0,2,3,0,2,3,3,3,0,2,3,3,3,2,3,2,2,3,2,3,0,0,3,2,3,2,3,2,3,3,2,2,2,3,2,2,2,3,3,2,2,2
343,Frontend Engineer,2,2,3,3,3,2,3,2,0,3,3,3,3,2,3,2,3,3,0,3,3,3,3,2,3,2,2,3,2,0,0,0,2,2,2,3,2,2,3,3,2,2,3,3,2,3,2,3
344,Solutions Architect,2,0,3,3,3,0,2,3,3,3,0,2,3,3,2,2,3,0,3,2,3,2,2,2,2,3,2,3,3,2,2,3,2,3,3,3,2,2,0,3,2,3,2,2,2,2,3,2
345,Backend Architect,0,3,0,2,3,3,3,3,2,0,2,2,2,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,0,2,2,0
346,Web Developer,2,3,0,2,3,2,0,3,2,3,3,0,2,3,0,2,3,3,3,3,3,3,2,2,3,2,3,3,2,3,2,3,3,2,3,3,2,3,3,2,2,3,3,3,3,0,3,2
347,Game Developer,0,3,2,0,3,2,3,3,0,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,0,2,3,2,2,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,0
348,Enterprise Architect,2,3,2,3,0,2,3,0,2,3,3,3,3,2,3,2,3,0,2,3,2,3,2,2,2,3,2,2,2,2,3,2,3,0,3,2,3,3,3,2,3,2,3,3,3,2,3,0
349,Frontend Developer,3,3,2,0,0,3,3,2,2,3,3,0,0,2,3,0,3,3,2,3,3,3,2,3,3,2,2,3,3,3,2,3,3,2,2,3,2,3,3,3,2,3,3,2,2,3,2,2
350,Network Administrator,0,0,0,3,3,2,2,2,3,2,3,3,3,2,2,2,3,2,2,2,3,2,3,3,2,2,3,2,2,3,0,2,3,3,2,3,3,2,3,2,2,2,3,2,3,0,3,3
351,Quality Assurance Engineer,2,2,3,0,0,3,2,3,3,3,0,3,3,2,0,2,3,3,3,3,2,3,3,2,2,2,2,3,3,2,3,0,2,2,3,2,3,3,2,3,3,2,2,2,3,2,3,3
352,Network Security Engineer,2,0,3,3,2,2,2,0,2,3,2,0,2,2,3,2,3,3,3,3,2,2,2,3,3,2,3,0,3,3,2,2,3,2,3,3,0,3,3,3,2,3,2,2,2,2,3,3
353,Backend Architect,0,3,0,2,2,3,3,3,2,0,3,2,2,3,2,2,3,3,2,3,2,2,3,3,3,2,3,2,2,3,2,2,2,3,2,3,2,3,2,3,2,3,3,3,0,2,2,0
354,IT Support Specialist,2,2,2,2,0,2,3,2,3,0,2,3,3,2,3,3,3,3,0,2,3,2,2,0,2,3,3,2,3,0,2,3,3,3,2,3,3,2,2,2,3,2,3,3,3,3,2,2
355,Data Analyst,2,2,0,2,3,3,3,3,3,0,3,3,2,2,3,3,3,2,2,3,2,2,2,2,2,3,0,3,2,3,0,3,3,3,2,3,3,3,2,3,3,2,3,3,2,2,2,0
356,System Administrator,3,3,3,2,0,0,2,3,3,2,3,3,3,3,2,3,3,2,2,3,2,3,2,2,3,2,3,2,3,0,3,3,3,0,0,2,3,3,3,3,3,3,2,3,2,3,2,2
357,Automation Engineer,3,0,3,2,3,2,0,3,3,3,2,3,3,2,3,2,3,3,3,3,2,0,3,3,0,3,3,3,3,2,2,2,0,3,2,3,2,3,3,3,2,3,2,3,2,3,2,2
358,QA Manager,0,2,3,3,3,2,3,0,3,2,3,0,2,3,2,3,3,2,0,2,2,2,2,3,2,2,2,3,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,2,2,3,0
359,DevOps Engineer,2,0,3,0,2,2,3,2,2,2,0,3,0,3,3,0,3,3,2,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,3,2,3
360,IT Support Specialist,3,2,3,2,0,3,2,3,3,0,2,2,2,2,3,3,3,3,0,2,3,2,3,0,3,2,3,2,3,0,3,3,3,3,2,2,3,3,3,3,2,3,3,2,3,3,2,3
361,Software Development Director,2,2,3,2,2,3,2,2,3,0,3,3,0,3,3,0,3,3,2,2,3,2,3,3,0,3,3,0,3,2,3,3,3,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3
362,Network Administrator,0,0,0,3,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,0,2,2,3,2,2,3,2,2,3,2,3,3,2,3,0,3,3
363,Embedded Systems Engineer,3,3,2,3,3,2,2,2,2,3,2,2,2,0,3,2,3,2,3,0,2,3,0,3,0,2,2,3,2,3,3,3,2,2,3,0,2,3,2,2,3,3,3,2,2,2,2,3
364,Product Manager,2,2,2,3,3,2,3,0,2,2,0,3,3,2,3,2,3,3,2,3,2,3,3,2,3,3,3,2,3,3,0,3,3,3,3,3,2,2,2,3,3,2,0,2,0,3,2,3
365,Data Warehouse Architect,0,3,3,2,3,3,2,3,3,3,2,3,3,0,2,2,3,2,3,3,0,3,3,2,3,0,3,2,0,2,2,2,3,2,3,3,2,3,2,2,2,2,3,2,2,2,3,3
366,Product Development Manager,3,0,2,3,3,0,3,3,2,2,2,2,3,0,3,3,3,3,0,2,3,2,2,2,3,2,0,3,3,3,2,3,3,2,2,2,2,2,2,3,2,3,3,3,2,2,3,2
367,Cybersecurity Manager,0,2,3,2,2,3,3,0,3,3,3,3,2,2,3,2,3,3,2,2,0,3,3,3,3,3,2,3,2,2,2,2,3,2,3,2,3,3,0,0,3,3,3,3,3,3,2,2
368,UI Developer,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,0,3,0,3,3,3,0,3,3,3,0,2,3,0,2,2,2,3,2,2,3,3,3,3,3,2,3,2,3,2,2,2,3
369,Software Engineer,0,2,0,3,3,0,3,3,2,3,2,0,2,2,2,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,2,3,0,3,2,2,3,3,3
370,Embedded Systems Engineer,3,3,3,2,2,2,2,2,2,2,3,3,2,0,3,3,3,3,3,0,3,3,0,2,0,2,3,3,3,3,2,3,3,3,2,0,2,2,3,2,2,3,2,3,3,2,2,3
371,Platform Engineer,0,3,3,3,3,0,3,0,2,3,3,3,2,3,3,3,3,2,3,2,3,2,3,3,2,3,3,2,2,3,0,2,3,2,3,0,3,2,2,2,3,2,3,3,3,3,2,3
372,Network Administrator,0,0,0,2,3,3,3,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,0,3,2,3,3,2,2,2,3,2,3,3,3,3,2,0,3,3
373,Data Science Manager,0,2,3,3,0,3,3,0,2,2,3,2,3,3,3,2,3,3,3,2,3,3,0,3,0,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,3,3,3,2,3,3,2
374,UX Lead,2,0,3,2,0,3,2,2,0,3,2,3,2,3,3,3,3,3,2,2,3,3,0,3,2,3,3,3,0,3,3,3,3,2,3,2,2,2,3,3,2,3,3,3,3,3,2,3
375,Embedded Systems Engineer,3,2,3,2,2,2,2,3,3,3,2,3,2,0,3,3,3,2,2,0,3,3,0,2,0,3,2,2,2,3,3,3,2,2,3,0,2,2,2,2,3,3,3,2,3,3,3,2
376,Project Manager,3,2,2,2,3,0,3,0,3,3,2,2,2,0,2,2,3,3,3,3,2,3,3,2,2,2,0,3,3,3,3,3,3,2,2,2,3,3,3,3,0,2,2,3,3,3,3,2
377,Backend Engineer,3,3,2,2,2,3,3,0,2,2,0,2,2,3,2,3,3,2,0,3,2,2,3,3,0,3,3,2,3,2,2,2,3,3,3,2,2,2,3,3,3,2,2,3,0,2,3,3
378,Business Analyst,2,2,2,2,3,0,3,0,3,3,3,2,3,2,2,0,3,2,2,3,2,2,3,2,3,3,3,3,2,3,3,2,3,3,3,2,3,0,3,0,2,2,3,2,3,2,3,2
379,Data Modeler,3,2,3,2,3,2,3,2,3,3,0,3,2,2,3,3,3,3,2,0,3,0,3,2,3,2,2,3,3,0,3,2,2,0,2,3,3,2,2,3,3,3,3,3,3,3,2,3
380,Technical Support Engineer,3,3,2,3,2,3,0,3,3,0,3,2,3,3,0,2,3,2,3,3,3,3,3,2,3,3,0,0,2,3,2,3,3,2,3,2,2,3,2,2,3,3,2,3,2,2,3,3
381,Android Developer,3,2,3,2,3,2,2,0,3,2,2,2,0,3,3,3,3,3,0,3,3,3,3,3,2,3,3,2,3,3,2,2,2,3,2,3,2,0,3,3,2,2,0,3,3,3,3,2
382,AI Engineer,2,3,0,3,3,3,3,2,3,2,3,2,3,3,3,0,3,3,3,3,3,3,2,3,2,3,2,0,2,3,3,3,2,3,3,2,3,3,2,2,3,0,3,2,3,3,0,3
383,Big Data Engineer,0,0,2,3,3,3,2,3,2,2,3,2,3,2,2,2,3,3,2,2,3,3,2,0,3,3,2,3,3,3,0,3,3,3,3,2,0,3,3,3,3,2,3,3,2,3,2,3
384,Project Manager,3,3,3,3,2,0,2,0,3,3,3,3,3,0,2,2,3,2,2,2,2,2,2,3,3,2,0,3,3,3,3,2,3,3,2,2,3,3,3,2,0,3,3,3,2,2,3,3
